"","EZH2","H2AFZ","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K4me2","H3K4me3","H3K79me2","H3K9ac","H3K9me3","H4K20me1"
"0",0.869084480102376,0.678706217737397,1,0.386139257955879,0.540352571123377,0.815952687310765,1,1,1,1,0.736280979283772,0.712784105530866
"1",0.72721250348512,0.0400923564991391,0.262025256877227,0.301903016012848,0.919863974215049,0.565537966211942,0.338777543364023,0.337841381052331,0.751983481833421,0.242148982691985,0.929115392497406,1
"2",0.560552520204704,0.0429994509160045,0.0422541616010813,0.449119484430053,0.141606483857077,0.121170851645335,0.0499523697502143,0.124583009426202,0.0282657572186236,0.1162984657781,0.535314770521081,0.381205704484995
"3",0.757771630087131,0.0733586103565159,0.0530634074918071,1,0.151444294697704,0.192658471795689,0.0743504621250367,0.152071353245626,0.035085051563345,0.153432131131344,0.566400144952259,0.672340875140981
"4",1,1,0.688967458591521,0.640386555410219,0.264130910864753,1,0.812870893578575,0.698807568930333,0.285224009633644,0.584588839061096,0.895820314236402,0.404550195783059
"5",0.887193536202907,0.333855051311929,0.214243199634238,0.723792998604165,0.246618975510843,0.68235526898244,0.363237929498337,0.346651981934375,0.114763823673691,0.226257847401404,1,0.530909600729042
"6",0.571792757324671,0,0.12027039893853,0.284064841466749,1,0.244591708962819,0.0889309809375063,0.14799742455361,0.201695117892071,0.15769841264964,0.491707616457296,0.689453590806589
"7",0,0.0234302057272301,0,0,0,0,0,0,0,0,0,0
