label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	6385	4691.495	3000.000	6738.082	29955196	1.000
0	138	2333.333	2000.000	735.570	322000	0.011
1	172	7569.767	4000.000	17784.590	1302000	0.043
2	180	5316.667	3000.000	4960.371	957000	0.032
3	1491	5107.512	3000.000	9431.346	7615301	0.254
4	129	2751.938	2000.000	1329.633	355000	0.012
5	1911	4847.264	4000.000	3750.875	9263121	0.309
6	262	8919.847	5000.000	10171.678	2337000	0.078
7	519	2662.027	2000.000	1205.879	1381592	0.046
8	108	3138.889	3000.000	1729.153	339000	0.011
9	429	4953.380	3000.000	6604.912	2125000	0.071
10	134	3149.254	2000.000	1776.746	422000	0.014
11	912	3877.393	3000.000	3751.496	3536182	0.118
