label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	7368	4065.580	3000.000	4542.270	29955196	1.000
0	198	2427.222	2000.000	987.368	480590	0.016
1	136	4588.235	3000.000	3705.065	624000	0.021
2	1852	3910.708	3000.000	2780.585	7242632	0.242
3	1581	4066.682	3000.000	3400.009	6429424	0.215
4	108	2240.741	2000.000	524.764	242000	0.008
5	1018	4212.477	3000.000	3250.403	4288302	0.143
6	416	2639.423	2000.000	1153.916	1098000	0.037
7	249	5321.293	3000.000	6682.796	1325002	0.044
8	69	3173.913	3000.000	1940.839	219000	0.007
9	227	8669.604	5000.000	10025.127	1968000	0.066
10	134	3007.463	2000.000	1632.214	403000	0.013
11	911	3543.629	3000.000	2656.888	3228246	0.108
12	50	2960.000	2000.000	2432.776	148000	0.005
13	177	7316.384	4000.000	17219.140	1295000	0.043
14	242	3983.471	3000.000	3422.056	964000	0.032
