label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	7043	4253.187	3000.000	4963.514	29955196	1.000
0	1848	4054.134	3000.000	2853.072	7492040	0.250
1	436	2614.679	2000.000	1118.307	1140000	0.038
2	269	5256.513	3000.000	6272.998	1414002	0.047
3	116	2224.138	2000.000	510.007	258000	0.009
4	77	3233.766	2000.000	2209.167	249000	0.008
5	210	2398.048	2000.000	842.036	503590	0.017
6	143	3314.685	2000.000	2046.384	474000	0.016
7	766	3474.211	3000.000	2793.052	2661246	0.089
8	202	5198.020	3000.000	5540.168	1050000	0.035
9	1584	4150.263	3000.000	3781.233	6574016	0.219
10	183	7491.803	4000.000	17322.044	1371000	0.046
11	237	9713.080	6000.000	11074.830	2302000	0.077
12	972	4594.961	3000.000	3889.589	4466302	0.149
