label	length
6	2000
6	2000
6	5000
6	2000
6	2000
6	3000
6	3000
6	4000
6	4000
6	2000
6	2000
6	3000
6	5000
6	2000
6	2000
6	2000
6	2000
6	2000
6	3000
6	2000
6	2000
6	2000
6	2000
6	5000
6	2000
6	3000
6	3000
6	2000
6	3000
6	2000
6	3000
6	6000
6	3000
6	2000
6	2000
6	4000
6	5000
6	2000
6	4000
6	3000
6	3000
6	2000
6	4000
6	2000
6	2000
6	2000
6	2000
6	2000
6	2000
6	6000
6	3000
6	2000
6	3000
6	2000
6	7000
6	5000
6	2000
6	3000
6	2000
6	7000
6	2000
6	2000
6	8000
6	4000
6	5000
6	2000
6	4000
6	7000
6	3000
6	11000
6	3000
6	4000
6	9000
6	2000
6	2000
6	3000
6	2000
6	5000
6	4000
6	3000
6	2000
6	3000
6	2000
6	2000
6	2000
6	2000
6	2000
6	2000
6	6000
6	2000
6	2000
6	3000
6	2000
6	2000
6	5000
6	2000
6	2000
6	2000
6	2000
6	4000
6	3000
6	12000
6	2000
6	4000
6	2000
6	4000
6	2000
6	3000
6	5000
6	6000
6	2000
6	2000
6	3000
6	4000
6	2000
6	2000
6	2000
6	11000
6	4000
6	10000
6	6000
6	2000
6	2000
6	2000
6	2000
6	2000
6	8000
6	2000
6	2000
6	2000
6	3000
6	4000
6	9000
6	3000
6	7000
6	3000
6	3000
6	2000
6	2000
6	3000
6	2000
6	2000
6	3000
8	2000
8	21000
8	5000
8	3000
8	2000
8	6000
8	3000
8	2000
8	1000
8	8000
8	4000
8	6000
8	2000
8	5000
8	2000
8	2000
8	2000
8	13000
8	4000
8	5000
8	6000
8	2000
8	6000
8	5000
8	2000
8	2000
8	2000
8	2000
8	2000
8	2000
8	4000
8	3000
8	2000
8	3000
8	2000
8	5000
8	3000
8	5000
8	4000
8	2000
8	2000
8	3000
8	2000
8	4000
8	30000
8	3000
8	3000
8	11000
8	6000
8	3000
8	3000
8	2000
8	2000
8	2000
8	3000
8	5000
8	2000
8	2000
8	6000
8	4000
8	3000
8	7000
8	2000
8	18000
8	4000
8	3000
8	2000
8	4000
8	2000
8	2000
8	3000
8	2000
8	5000
8	7000
8	5000
8	2000
8	3000
8	37000
8	3000
8	8000
8	2000
8	5000
8	2000
8	19000
8	3000
8	7000
8	4000
8	10000
8	3000
8	2000
8	2000
8	2000
8	2000
8	2000
8	3000
8	3000
8	2000
8	2000
8	2000
8	8000
8	3000
8	2000
8	3000
8	7000
8	7000
8	9000
8	4000
8	3000
8	4000
8	5000
8	5000
8	10000
8	9000
8	2000
8	3000
8	2000
8	2000
8	2000
8	4000
8	6000
8	2000
8	3000
8	35000
8	4000
8	5000
8	9000
8	6000
8	2000
8	7000
8	19000
8	12000
8	2000
8	2000
8	9000
8	2000
8	2000
8	7000
8	2000
8	2000
8	2000
8	3000
8	13000
8	9000
8	7000
8	5000
8	15000
8	4000
8	7000
8	7000
8	2000
8	7000
8	3000
8	2000
8	5000
8	2000
8	4000
8	10000
8	2000
8	2000
8	2000
8	2000
8	7000
8	3000
8	18000
8	4000
8	2000
8	2000
8	2000
8	4000
8	9000
8	12000
8	5000
8	14000
8	5000
8	37000
8	11000
8	3000
8	9000
8	7000
8	2000
8	2000
8	2000
8	5000
8	3000
8	4000
8	4000
8	2000
8	5000
8	3000
8	2000
8	2000
8	3000
8	2000
8	3000
8	6000
8	3000
8	5000
8	14000
8	4000
8	6000
8	4000
8	4000
11	2000
11	19000
11	28000
11	9000
11	24000
11	5000
11	3000
11	2000
11	23000
11	8000
11	3000
11	3000
11	3000
11	7000
11	6000
11	8000
11	5000
11	4000
11	3000
11	11000
11	9000
11	2000
11	6000
11	4000
11	2000
11	11000
11	5000
11	6000
11	8000
11	2000
11	3000
11	13000
11	5000
11	25000
11	8000
11	9000
11	42000
11	11000
11	10000
11	23000
11	9000
11	13000
11	18000
11	31000
11	19000
11	13000
11	8000
11	7000
11	8000
11	14000
11	9000
11	12000
11	11000
11	35000
11	21000
11	2000
11	12000
11	4000
11	6000
11	4000
11	45000
11	2000
11	43000
11	36000
11	2000
11	3000
11	8000
11	10000
11	31000
11	2000
11	3000
11	3000
11	3000
11	9000
11	4000
11	2000
11	25000
11	17000
11	5000
11	10000
11	17000
11	12000
11	3000
11	2000
11	6000
11	10000
11	6000
11	13000
11	22000
11	3000
