label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	6573	4557.310	3000.000	5465.442	29955196	1.000
0	170	2494.118	2000.000	1149.153	424000	0.014
1	245	9697.959	6000.000	11228.180	2376000	0.079
2	1737	3974.154	3000.000	4432.936	6903105	0.230
3	183	7622.951	4000.000	17634.880	1395000	0.047
4	196	5418.367	3000.000	5759.506	1062000	0.035
5	975	4412.494	3000.000	3897.058	4302182	0.144
6	2297	4939.625	4000.000	4116.400	11346319	0.379
7	151	3298.013	2000.000	1996.005	498000	0.017
8	110	2881.818	2000.000	1599.613	317000	0.011
9	509	2616.090	2000.000	1081.155	1331590	0.044
