label	length
7	2000
7	2000
7	2000
7	3000
7	2000
7	2000
7	2000
7	3000
7	3000
7	3000
7	4000
7	2000
7	2000
7	2000
7	5000
7	2000
7	3000
7	2000
7	2000
7	3000
7	3000
7	2000
7	2000
7	2000
7	2000
7	2000
7	2000
7	2000
7	3000
7	2000
7	2000
7	2000
7	3000
7	6000
7	3000
7	3000
7	2000
7	2000
7	5000
7	6000
7	2000
7	4000
7	3000
7	3000
7	2000
7	4000
7	2000
7	2000
7	2000
7	2000
7	2000
7	2000
7	8000
7	3000
7	2000
7	2000
7	3000
7	2000
7	6000
7	4000
7	2000
7	2000
7	2000
7	8000
7	2000
7	2000
7	8000
7	7000
7	5000
7	2000
7	2000
7	4000
7	7000
7	2000
7	7000
7	3000
7	4000
7	7000
7	5000
7	3000
7	2000
7	2000
7	2000
7	2000
7	4000
7	9000
7	4000
7	3000
7	2000
7	2000
7	2000
7	2000
7	2000
7	7000
7	2000
7	3000
7	2000
7	2000
7	5000
7	4000
7	2000
7	3000
7	2000
7	7000
7	11000
7	2000
7	4000
7	2000
7	4000
7	2000
7	3000
7	5000
7	7000
7	2000
7	3000
7	2000
7	4000
7	4000
7	3000
7	2000
7	3000
7	8000
7	3000
7	3000
7	10000
7	4000
7	2000
7	2000
7	2000
7	2000
7	2000
7	9000
7	2000
7	2000
7	2000
7	2000
7	3000
7	4000
7	2000
7	11000
7	3000
7	3000
7	5000
7	2000
7	2000
7	2000
7	2000
7	2000
7	4000
7	2000
7	5000
4	2000
4	23000
4	7000
4	3000
4	2000
4	5000
4	3000
4	3000
4	8000
4	4000
4	7000
4	2000
4	5000
4	2000
4	2000
4	15000
4	4000
4	5000
4	6000
4	2000
4	6000
4	5000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	4000
4	3000
4	3000
4	2000
4	5000
4	3000
4	3000
4	5000
4	5000
4	2000
4	2000
4	7000
4	4000
4	30000
4	3000
4	11000
4	6000
4	3000
4	3000
4	2000
4	2000
4	3000
4	5000
4	2000
4	2000
4	6000
4	4000
4	3000
4	7000
4	2000
4	18000
4	4000
4	2000
4	2000
4	5000
4	2000
4	2000
4	2000
4	3000
4	2000
4	4000
4	7000
4	8000
4	2000
4	4000
4	37000
4	3000
4	8000
4	2000
4	5000
4	2000
4	19000
4	3000
4	5000
4	4000
4	10000
4	2000
4	6000
4	2000
4	2000
4	2000
4	2000
4	3000
4	2000
4	2000
4	14000
4	2000
4	2000
4	3000
4	2000
4	7000
4	7000
4	9000
4	5000
4	3000
4	3000
4	5000
4	5000
4	11000
4	9000
4	2000
4	3000
4	2000
4	2000
4	2000
4	4000
4	2000
4	2000
4	35000
4	4000
4	5000
4	17000
4	2000
4	2000
4	7000
4	19000
4	13000
4	2000
4	2000
4	10000
4	2000
4	2000
4	7000
4	3000
4	2000
4	5000
4	14000
4	9000
4	7000
4	5000
4	15000
4	4000
4	7000
4	7000
4	7000
4	3000
4	2000
4	4000
4	2000
4	4000
4	2000
4	10000
4	2000
4	2000
4	2000
4	2000
4	3000
4	7000
4	3000
4	18000
4	3000
4	2000
4	2000
4	5000
4	3000
4	8000
4	12000
4	5000
4	14000
4	5000
4	37000
4	11000
4	3000
4	9000
4	7000
4	2000
4	2000
4	2000
4	7000
4	2000
4	2000
4	2000
4	4000
4	2000
4	3000
4	5000
4	3000
4	2000
4	3000
4	3000
4	6000
4	3000
4	3000
4	14000
4	4000
4	6000
4	3000
4	4000
1	2000
1	18000
1	28000
1	9000
1	24000
1	5000
1	3000
1	25000
1	8000
1	8000
1	3000
1	7000
1	6000
1	8000
1	5000
1	4000
1	3000
1	2000
1	11000
1	9000
1	2000
1	6000
1	4000
1	2000
1	13000
1	5000
1	8000
1	8000
1	2000
1	4000
1	13000
1	5000
1	25000
1	8000
1	9000
1	43000
1	11000
1	10000
1	23000
1	9000
1	13000
1	18000
1	30000
1	19000
1	13000
1	19000
1	8000
1	14000
1	9000
1	12000
1	49000
1	21000
1	2000
1	12000
1	4000
1	7000
1	4000
1	45000
1	43000
1	36000
1	2000
1	3000
1	5000
1	10000
1	31000
1	2000
1	3000
1	3000
1	3000
1	9000
1	5000
1	2000
1	25000
1	17000
1	3000
1	10000
1	14000
1	1000
1	11000
1	3000
1	2000
1	6000
1	10000
1	6000
1	13000
1	24000
1	2000
1	7000
1	6000
1	2000
1	25000
1	22000
1	12000
1	2000
1	5000
1	3000
1	3000
1	3000
1	6000
1	2000
1	3000
1	3000
1	8000
1	6000
1	5000
1	6000
1	2000
1	4000
1	5000
1	22000
1	18000
1	8000
1	5000
1	3000
1	24000
1	14000
1	66000
1	3000
1	22000
1	15000
1	17000
1	4000
1	2000
1	6000
1	2000
1	9000
1	4000
1	3000
1	3000
1	6000
1	2000
1	3000
1	2000
1	2000
1	3000
1	58000
1	32000
1	3000
1	4000
1	15000
1	69000
1	4000
1	7000
1	5000
1	8000
1	4000
1	11000
1	7000
1	2000
1	5000
1	22000
1	8000
1	39000
1	4000
1	10000
1	2000
1	16000
1	31000
1	3000
1	9000
1	23000
1	8000
1	7000
1	6000
1	3000
1	5000
1	4000
1	2000
1	3000
1	2000
1	6000
1	4000
1	7000
1	5000
1	3000
1	1000
1	11000
1	6000
1	6000
1	5000
1	24000
1	8000
1	3000
1	2000
1	5000
1	3000
1	3000
1	3000
1	5000
1	6000
1	4000
1	2000
1	3000
1	4000
1	3000
1	5000
1	8000
1	5000
1	2000
1	2000
1	16000
1	2000
1	3000
1	21000
1	3000
1	3000
1	7000
1	2000
1	4000
1	24000
1	68000
1	5000
1	13000
1	3000
