"","EZH2","H2AFZ","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K4me2","H3K4me3","H3K79me2","H3K9ac","H3K9me3","H4K20me1"
"0",0.847596554227967,0.568039950372619,1,0.278108319588141,0.564594307577135,0.826636584462935,1,1,1,1,0.786826137321617,0.739494437687949
"1",0.718500839026391,0.036021608568057,0.260165089559813,0.226671395989236,0.922684012980013,0.568729513168231,0.336185371010368,0.337262586039399,0.733199537639186,0.241965742162606,0.995292906229614,1
"2",0.54439695587749,0.0291284797269362,0.0398033313625463,0.392427486870116,0.129450881444609,0.119990670060038,0.0485281363373004,0.118457957172888,0.0241317729561803,0.118301364995142,0.425915662129329,0.44301963635182
"3",0.793399944933948,0.0602405589613186,0.0538056040674617,1,0.143316474593552,0.222197542721275,0.0817164582095214,0.151582816962228,0.0352717033299946,0.160561087684603,0.517080172104769,0.829664881835805
"4",1,1,0.739619289162668,0.464284207163053,0.261283861145184,1,0.848445756202447,0.74414660447376,0.320673405394075,0.649905148346539,0.949043627603982,0.399456171598009
"5",0.707019626493522,0.0936570909532434,0.0589662194820259,0.326676919979989,0.17902898185883,0.180449896192708,0.0752291038535106,0.170090901346064,0.039669927174162,0.142909483153524,0.965667899990952,0.39037171201575
"6",0.56355497374928,0,0.120331470562213,0.212044005130043,1,0.248924712654359,0.0897976506397455,0.148966717931579,0.195776984268437,0.158962639650671,0.509965177784421,0.692862990105448
"7",0,0.022055139038415,0,0,0,0,0,0,0,0,0,0
"8",0.86783594647835,0.337961546035847,0.2489035145577,0.500526842075417,0.256248386868397,0.753954204027026,0.41258874255901,0.379486625329863,0.124812721676582,0.248157938490367,1,0.538815140998317
