label	length
8	1590
10	2000
10	19000
10	27000
10	10000
10	21000
10	5000
10	2000
10	27000
10	4000
10	2000
10	3000
10	4000
10	2000
10	3000
10	2000
10	3000
10	6000
10	10000
10	5000
10	2000
10	3000
10	10000
10	9000
10	2000
10	7000
10	8000
10	11000
10	5000
10	7000
10	7000
10	4000
10	9000
10	2000
10	7000
10	25000
10	7000
10	8000
10	34000
10	7000
10	7000
10	2000
10	7000
10	5000
10	5000
10	7000
10	8000
10	2000
10	5000
10	4000
10	9000
10	31000
10	13000
10	41000
10	3000
10	4000
10	3000
10	13000
10	17000
10	3000
10	47000
10	22000
10	2000
10	15000
10	4000
10	6000
10	3000
10	46000
10	3000
10	3000
10	43000
10	2000
10	25000
10	2000
10	3000
10	2000
10	4000
10	6000
10	16000
10	6000
10	2000
10	3000
10	8000
10	6000
10	3000
10	5000
10	22000
10	10000
10	3000
10	5000
10	3000
10	11000
10	9000
10	2000
10	5000
10	19000
10	15000
10	24000
10	8000
10	7000
10	3000
10	23000
10	22000
10	11000
10	2000
10	2000
10	2000
10	2000
10	2000
10	6000
10	5000
10	6000
10	7000
10	7000
10	2000
10	5000
10	3000
10	7000
10	4000
10	5000
10	10000
10	4000
10	11000
10	6000
10	5000
10	2000
10	2000
10	24000
10	15000
10	63000
10	2000
10	20000
10	15000
10	6000
10	1000
10	5000
10	4000
10	2000
10	2000
10	9000
10	3000
10	8000
10	5000
10	2000
10	5000
10	12000
10	5000
10	2000
10	2000
10	3000
10	3000
10	3000
10	1000
10	3000
10	58000
10	34000
10	2000
10	5000
10	16000
10	69000
10	4000
10	7000
10	5000
10	6000
10	3000
10	8000
10	10000
10	2000
10	2000
10	2000
10	5000
10	22000
10	2000
10	4000
10	10000
10	23000
10	5000
10	8000
10	2000
10	15000
10	23000
10	5000
10	2000
10	8000
10	25000
10	8000
10	7000
10	7000
10	4000
10	2000
10	6000
10	5000
10	2000
