label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	7289	4109.644	3000.000	4615.206	29955196	1.000
0	73	3356.164	2000.000	3133.425	245000	0.008
1	61	3573.770	2000.000	2939.048	218000	0.007
2	242	9285.124	6000.000	10432.254	2247000	0.075
3	201	5044.776	3000.000	4644.901	1014000	0.034
4	173	7387.283	4000.000	17386.636	1278000	0.043
5	1602	4191.276	3000.000	3419.474	6714424	0.224
6	998	4055.537	3000.000	3100.262	4047426	0.135
7	156	3339.744	2000.000	2349.296	521000	0.017
8	267	4883.903	3000.000	6300.046	1304002	0.044
9	440	2546.795	2000.000	1015.353	1120590	0.037
10	173	2421.965	2000.000	931.766	419000	0.014
11	93	2258.065	2000.000	584.812	210000	0.007
12	1791	3866.350	3000.000	2729.352	6924632	0.231
13	1019	3623.280	3000.000	2468.059	3692122	0.123
