label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	6290	4762.352	3000.000	6854.767	29955196	1.000
0	117	3880.342	3000.000	2912.286	454000	0.015
1	1927	4817.395	4000.000	3794.552	9283121	0.310
2	966	3928.760	3000.000	3641.404	3795182	0.127
3	512	2528.500	2000.000	990.344	1294592	0.043
4	162	5641.975	3000.000	5807.208	914000	0.031
5	194	2628.866	2000.000	1330.217	510000	0.017
6	475	4652.632	3000.000	5803.753	2210000	0.074
7	276	9275.362	5000.000	10367.360	2560000	0.085
8	1487	5121.924	3000.000	9555.944	7616301	0.254
9	174	7574.713	4000.000	17733.423	1318000	0.044
