label	length
0	2000
0	2000
0	2000
0	5000
0	2000
0	2000
0	3000
0	3000
0	3000
0	4000
0	2000
0	2000
0	2000
0	5000
0	2000
0	3000
0	2000
0	2000
0	5000
0	2000
0	2000
0	2000
0	2000
0	2000
0	5000
0	2000
0	3000
0	3000
0	2000
0	2000
0	3000
0	6000
0	3000
0	3000
0	2000
0	4000
0	5000
0	2000
0	2000
0	3000
0	3000
0	3000
0	2000
0	4000
0	2000
0	2000
0	2000
0	2000
0	2000
0	2000
0	2000
0	6000
0	3000
0	2000
0	2000
0	3000
0	2000
0	7000
0	4000
0	2000
0	2000
0	2000
0	8000
0	2000
0	2000
0	8000
0	4000
0	5000
0	2000
0	2000
0	2000
0	4000
0	7000
0	11000
0	3000
0	4000
0	4000
0	4000
0	3000
0	2000
0	2000
0	2000
0	2000
0	5000
0	4000
0	3000
0	2000
0	3000
0	2000
0	2000
0	2000
0	2000
0	2000
0	7000
0	2000
0	2000
0	3000
0	2000
0	2000
0	2000
0	5000
0	2000
0	2000
0	3000
0	2000
0	3000
0	3000
0	12000
0	2000
0	4000
0	2000
0	4000
0	2000
0	3000
0	5000
0	7000
0	2000
0	3000
0	2000
0	4000
0	2000
0	3000
0	2000
0	3000
0	6000
0	3000
0	4000
0	10000
0	3000
0	2000
0	2000
0	2000
0	2000
0	2000
0	8000
0	2000
0	2000
0	2000
0	3000
0	4000
0	2000
0	11000
0	7000
0	3000
0	5000
0	2000
0	2000
0	2000
0	2000
0	2000
0	2000
0	2000
0	3000
8	2000
8	21000
8	7000
8	3000
8	5000
8	3000
8	3000
8	8000
8	4000
8	7000
8	2000
8	5000
8	2000
8	2000
8	2000
8	15000
8	4000
8	5000
8	6000
8	2000
8	6000
8	5000
8	2000
8	2000
8	2000
8	2000
8	2000
8	4000
8	3000
8	2000
8	2000
8	2000
8	2000
8	3000
8	5000
8	4000
8	2000
8	2000
8	7000
8	4000
8	30000
8	3000
8	11000
8	6000
8	3000
8	3000
8	2000
8	2000
8	3000
8	5000
8	2000
8	6000
8	4000
8	3000
8	7000
8	2000
8	18000
8	4000
8	2000
8	2000
8	4000
8	2000
8	2000
8	3000
8	2000
8	4000
8	7000
8	6000
8	2000
8	4000
8	37000
8	3000
8	8000
8	2000
8	5000
8	2000
8	19000
8	3000
8	6000
8	4000
8	10000
8	3000
8	2000
8	2000
8	2000
8	2000
8	2000
8	2000
8	3000
8	2000
8	2000
8	14000
8	3000
8	2000
8	7000
8	7000
8	9000
8	5000
8	3000
8	4000
8	5000
8	5000
8	10000
8	9000
8	2000
8	3000
8	2000
8	2000
8	3000
8	4000
8	2000
8	2000
8	35000
8	4000
8	5000
8	17000
8	2000
8	7000
8	19000
8	13000
8	2000
8	2000
8	10000
8	2000
8	2000
8	7000
8	3000
8	2000
8	3000
8	13000
8	9000
8	7000
8	5000
8	15000
8	4000
8	7000
8	7000
8	7000
8	3000
8	2000
8	5000
8	2000
8	4000
8	10000
8	2000
8	2000
8	2000
8	2000
8	7000
8	3000
8	18000
8	3000
8	2000
8	2000
8	5000
8	3000
8	9000
8	12000
8	5000
8	14000
8	5000
8	37000
8	11000
8	3000
8	9000
8	7000
8	2000
8	2000
8	2000
8	7000
8	2000
8	2000
8	4000
8	2000
8	5000
8	3000
8	2000
8	2000
8	3000
8	3000
8	6000
8	3000
8	4000
8	14000
8	4000
8	6000
8	4000
8	4000
3	2000
3	18000
3	28000
3	9000
3	31000
3	3000
3	25000
3	8000
3	3000
3	3000
3	3000
3	7000
3	6000
3	8000
3	5000
3	4000
3	5000
3	2000
3	11000
3	9000
3	2000
3	6000
3	4000
3	2000
3	13000
3	5000
3	8000
3	8000
3	2000
3	4000
3	13000
3	5000
3	24000
3	2000
3	8000
3	9000
3	42000
3	11000
3	10000
3	23000
3	9000
3	13000
3	18000
3	10000
3	18000
3	19000
3	13000
3	8000
3	8000
3	8000
3	14000
3	9000
3	12000
3	49000
3	21000
3	2000
3	12000
3	4000
3	7000
3	4000
3	45000
3	3000
3	43000
3	38000
3	2000
3	3000
3	5000
3	3000
3	5000
3	31000
3	2000
3	3000
3	3000
3	3000
3	9000
3	5000
3	2000
3	25000
3	17000
3	4000
3	10000
3	8000
3	4000
3	11000
3	3000
3	2000
3	6000
3	10000
3	6000
3	13000
3	24000
3	1000
3	7000
3	6000
3	2000
3	25000
3	22000
3	2000
3	12000
3	2000
3	4000
3	3000
3	3000
3	2000
3	9000
3	2000
3	2000
3	3000
3	8000
3	6000
3	5000
3	6000
3	2000
3	4000
3	4000
3	7000
3	13000
3	18000
3	8000
3	5000
3	24000
3	14000
3	37000
3	27000
3	4000
3	22000
3	15000
3	17000
3	4000
3	2000
3	5000
3	8000
3	4000
3	10000
3	6000
3	2000
3	3000
3	3000
3	7000
3	58000
3	32000
3	2000
3	4000
3	15000
3	69000
3	4000
3	7000
3	5000
3	7000
3	4000
3	11000
3	7000
3	2000
3	5000
3	22000
3	8000
3	40000
3	5000
3	10000
