label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	7028	4262.265	3000.000	4877.060	29955196	1.000
0	153	3189.542	2000.000	1932.696	488000	0.016
1	754	3536.135	3000.000	2769.241	2666246	0.089
2	268	5119.410	3000.000	6249.825	1372002	0.046
3	239	9732.218	6000.000	10865.642	2326000	0.078
4	160	2456.250	2000.000	954.246	393000	0.013
5	178	7337.079	4000.000	17169.966	1306000	0.044
6	106	3150.943	3000.000	1779.296	334000	0.011
7	1642	4055.069	3000.000	3280.391	6658424	0.222
8	188	5494.681	3000.000	5809.473	1033000	0.034
9	895	4723.242	3000.000	4293.652	4227302	0.141
10	1996	4010.838	3000.000	2825.640	8005632	0.267
11	449	2551.425	2000.000	1029.239	1145590	0.038
