"","EZH2","H2AFZ","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K4me2","H3K4me3","H3K79me2","H3K9ac","H3K9me3","H4K20me1"
"0",0.696234443333471,0.193270926096662,0.886103044566062,0.232842761554376,0.692214254503523,1,1,0.97610000356884,1,0.858499607507924,0.514276980195788,0.863789062157399
"1",0.668666546397223,0.0443663263685589,0.0559645846138235,0.880390550402077,0.150374232799896,0.250996255858819,0.0837295280796723,0.162721983333306,0.0369471944609319,0.161922371466496,0.336312503169353,0.848589430241664
"2",1,0.178536710408059,0.0989581565731384,1,0.159494625235073,0.776510874801321,0.408483630864962,0.389466964337906,0.066890103287643,0.208061211812805,0.56022289857996,0.817455227131119
"3",0.711673532682508,0.356495268726956,0.409632648787289,0.311558051154662,0.314167803878102,0.971170519001791,0.559367268199415,0.510497336916941,0.186890416391326,0.347530332135807,0.597200409822566,0.476402983957123
"4",0.815653211392615,1,1,0.318098248030475,0.21345194665697,0.916562701280666,0.964682149431018,1,0.53415346827529,1,0.535289320760504,0.362764236215883
"5",0.602040752389929,0.0239025842314879,0.2423125598238,0.198287429345225,0.917244302147887,0.602141333270668,0.32364393959149,0.3449598681335,0.703414410184045,0.236672177096677,0.620041103560285,1
"6",0.464285815768191,0.0276603194187542,0.0430527645362375,0.243981051799145,0.151385131514429,0.136614370877735,0.0524761243862586,0.137838705828654,0.0274341219698907,0.118820714520161,0.342494902662879,0.373812562235555
"7",0.477226901285733,0,0.120559079190679,0.187825042006432,1,0.280645931067226,0.0959390475476865,0.160873662064521,0.186556231333478,0.163786399392467,0.303566242548126,0.700831241186561
"8",0.526417655409198,0.0316955585968797,0.0454512483822737,0.42299811013345,0.138002277163544,0.163780294582185,0.061240548810221,0.142990535683869,0.0267060716414286,0.139398220223888,0.296982311779099,0.527542003587187
"9",0,0.0166145755358756,0,0,0,0,0,0,0,0,0,0
"10",0.664951452334759,0.140925383844989,0.0946243507868456,0.262170941989147,0.234365079455502,0.301656768839219,0.125497804205039,0.2330839691398,0.0659091170333028,0.15637910121532,1,0.323553607634398
