label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	6237	4802.821	3000.000	5886.247	29955196	1.000
0	275	9189.091	5000.000	10363.953	2527000	0.084
1	2096	4910.751	4000.000	4286.648	10292934	0.344
2	255	6694.118	4000.000	15089.555	1707000	0.057
3	1344	4431.731	3000.000	4003.448	5956246	0.199
4	606	2669.294	2000.000	1186.216	1617592	0.054
5	166	5614.458	3000.000	5754.687	932000	0.031
6	119	3957.983	3000.000	3022.034	471000	0.016
7	1160	5063.297	3000.000	6575.928	5873424	0.196
8	216	2675.926	2000.000	1399.925	578000	0.019
