"","EZH2","H2AFZ","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K4me2","H3K4me3","H3K79me2","H3K9ac","H3K9me3","H4K20me1"
"0",0.496941871302862,0.211380667395473,0.956803552065439,0.169690969953241,0.662986308355109,0.889736627354312,1,0.948397699080782,1,0.893710977600659,0.376677867446066,0.842841157674771
"1",1,0.100992842001019,0.0383056417198256,1,0.125514779557846,0.366616236600289,0.230445783022899,0.255328017224294,0.045212937526544,0.13987486450631,0.45747413749887,0.979158416696218
"2",0.334318573358795,0,0.105539643281407,0.124579631901994,1,0.236003312216664,0.0821784366780918,0.135978420173905,0.148556312530459,0.137529890293663,0.225120554274004,0.704179867247045
"3",0.391166559561846,0.0095942440993267,0.169112796103509,0.13288151177279,0.904213284503511,0.404775411898256,0.187858244619922,0.221288437702862,0.564480442899102,0.166786687186028,0.457357376375752,0.936404414786496
"4",0,0.0159931190456048,0,0,0,0,0,0,0,0,0,0
"5",0.310683796924123,0.0196911690226937,0.0356581126264941,0.166380957869333,0.142401206288831,0.109613195006305,0.0448841283649751,0.115707461945584,0.0221524117139816,0.0956525398943012,0.234849793199946,0.388964568441677
"6",0.329848762656398,0.0171393592857544,0.0393292854350631,0.348276398944899,0.118595452006126,0.143145626414401,0.0535438941794188,0.105799032256955,0.024486947361868,0.108750777472785,0.19692585830755,0.57699050159678
"7",0.48468827374684,0.079482438865827,0.406590260009345,0.135505423059406,0.87100062893081,0.829363271084703,0.627285596552829,0.545782752423723,0.791211877539127,0.332921295575049,0.4955056271423,1
"8",0.472006945521514,0.130708401640439,0.0810686778156511,0.165113880887161,0.247484298267553,0.227911639625967,0.0974020912936389,0.207038554017509,0.0608378704795745,0.121898378876666,1,0.285637684679533
"9",0.488308950503726,0.205726155770832,0.216137394022259,0.263923058850399,0.276542746538111,0.749026411627369,0.385303037042295,0.341694589992269,0.121355723593829,0.211689262493773,0.410156665671927,0.569127908420429
"10",0.590620605667641,0.609730174660881,0.592184769085843,0.277149462677999,0.248167783047352,1,0.747185218095816,0.622808725047302,0.208224600284508,0.464030932999125,0.518015770998955,0.425783067115697
"11",0.569341789951102,1,1,0.180384787542318,0.218764435720389,0.65733528613911,0.942190867885047,1,0.673065662596107,1,0.370233182802196,0.417505224460587
"12",0.421084016021858,0.0499356101572044,0.0483009377477466,0.222520041739423,0.1629056872075,0.165939247024884,0.0673792757269118,0.149490150909546,0.0314056547446375,0.128435110185145,0.322257262045186,0.480805089174575
"13",0.468978663075023,0.0426770333000334,0.0517520837565709,0.572031809763054,0.153850946336007,0.230447915000904,0.0804216977685047,0.14710054657023,0.0345021439057075,0.141554673830469,0.272275095271133,0.863228538369183
