"","EZH2","H2AFZ","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K4me2","H3K4me3","H3K79me2","H3K9ac","H3K9me3","H4K20me1"
"0",0.82862137288906,0.998968144554447,1,0.196458618162309,0.493899261643274,0.721602027693375,1,1,1,1,0.769609407647015,0.731517306113596
"1",0.600071315145786,0.271610309255511,0.0472880427477041,0.563815691956799,0.180090258279734,0.147550353988754,0.0534123526350535,0.138420490828145,0.037340885914932,0.0996930027403167,0.498435172501591,0.48856545697242
"2",0.99364651318635,0.309463612052359,0.0558016691947335,1,0.21838000412268,0.202736631148856,0.0792614506243524,0.177037316185012,0.0467112677750725,0.124667741362179,0.615190535636347,0.629536071277688
"3",0.855718075953714,0.663241466790631,0.250610015404114,0.393177023522826,0.319978799917252,0.747076358112656,0.422085086018733,0.31970897400524,0.137926019640011,0.241535371134178,0.734548790959492,0.564822298190593
"4",0.64401587155095,0.249919968152618,0.28323814594725,0.130982570368851,0.913751244934543,0.616666005598857,0.34740430425425,0.315737959681965,0.842515608423496,0.219200356051457,0.877155762938355,1
"5",1,1,0.764751462007341,0.269755504033508,0.386693408641189,1,0.785782065554559,0.607875360014523,0.341741958746321,0.550092171721719,0.819835132369743,0.462724302111438
"6",0.72997385460171,0.510690999123808,0.107816222691803,0.259526858237969,0.281302353201491,0.284025270881863,0.102445251581657,0.196110936888847,0.0768934532911817,0.109998483518829,1,0.30938856941253
"7",0.458528499771911,0.150746735833113,0.121422116526339,0.0921697489153051,1,0.250385292759756,0.0876590741292375,0.147931406839813,0.226897563728655,0.127841358072339,0.523177122358651,0.752086525867943
"8",0.412717049971187,0.2104733938399,0.0431623409128388,0.235546382206884,0.193287692259988,0.126592789731526,0.0438780945484943,0.12137168155503,0.0370542384859381,0.0765969106240218,0.533476324989026,0.360174561786347
"9",0,0,0,0,0,0,0,0,0,0,0,0
