"","EZH2","H2AFZ","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K4me2","H3K4me3","H3K79me2","H3K9ac","H3K9me3","H4K20me1"
"0",0.292532891956849,0.300480537895442,0.443106719915222,0.110344844680945,0.896862920545787,0.900043342980962,0.609273938987997,0.490120218441046,0.948048787239544,0.33639502157273,0.805442014730227,1
"1",0.347674173573643,0.245624910436357,0.0508324441168149,0.643986281175515,0.21815042980183,0.196450929720265,0.0670369513638862,0.161822279938559,0.0442368195816942,0.110331209057029,0.552045026901939,0.581593990803817
"2",0.335096868001211,0.645207299219933,0.475665316769561,0.172256795698526,0.436282385996292,1,0.569116136180633,0.406757533376785,0.20754893496822,0.297897001580623,0.775897921631411,0.468415879148877
"3",0.153836475191976,0.169260135018773,0.0393301865149422,0.153551484653355,0.188844196133887,0.13363905675,0.0429353413746968,0.11366302854788,0.0354904707340522,0.0689644100902375,0.481490339376996,0.34561117806254
"4",1,0.487244526490106,0.0515407239033156,1,0.171917574186833,0.511658748159139,0.419580843202431,0.294062983393029,0.0641297209652958,0.193867963336292,0.65446914632662,0.91205497991883
"5",0.283825161890163,0.391704331521726,0.0865297086480985,0.175006615265672,0.279869605515232,0.243891479719629,0.0780534874419198,0.184642898064517,0.0683877614302668,0.0904876243261801,1,0.262134803535704
"6",0.403491161645822,1,0.772966195233579,0.199974444676474,0.298722366585569,0.980139562660917,0.891860796271358,0.696196619191586,0.378404379681313,0.665849803958266,0.723206004645318,0.469850880433696
"7",0,0,0,0,0,0,0,0,0,0,0,0
"8",0.28423602633251,0.461318346359427,0.170356322818851,0.255688831221687,0.297824282968457,0.669276968557351,0.303316823736323,0.241667191640518,0.110850321280208,0.177775173234214,0.621266561608404,0.546739916072616
"9",0.224224213884172,0.219667891520351,0.0433481983713516,0.363876062516249,0.180670035665448,0.155713101747353,0.0523127939175863,0.128128832038343,0.0361867397020654,0.0904429437499313,0.445538988286041,0.471381530241233
"10",0.171585631001382,0.120254028920179,0.106549373551737,0.0582047009721718,1,0.240204651331381,0.075091099754769,0.133827542547397,0.169799987022255,0.11438191780687,0.447998894367588,0.700554564859001
"11",0.211355521895228,0.156081668701878,0.167327856336296,0.0822729422097049,0.89737383366248,0.456734888783297,0.184948632994836,0.194342693394878,0.639241377680619,0.138863943049205,0.709419253585616,0.881692625340566
"12",0.310857859989574,0.858469214034539,1,0.134008666896124,0.4617407758858,0.710396029770301,1,1,1,1,0.708093216444515,0.661320758737919
