,Celltype,experiment,biosample (isoreplicate),files
49,GM12878,H3K27me3,ENCBS830CIQ (rep. 2),"ENCFF565DCK, ENCFF736CNQ"
50,GM12878,H3K4me2,ENCBS715VCP (rep. 1),"ENCFF008LEY, ENCFF028DRR"
51,GM12878,H3K4me2,ENCBS830CIQ (rep. 2),"ENCFF081ODV, ENCFF922IYX"
52,GM12878,H3K4me3,ENCBS715VCP (rep. 1),"ENCFF843BWY, ENCFF346GYG"
53,GM12878,H3K4me3,ENCBS830CIQ (rep. 2),"ENCFF126HII, ENCFF874RRW"
54,GM12878,H3K79me2,ENCBS715VCP (rep. 1),"ENCFF465NXQ, ENCFF567RPY"
55,GM12878,H3K79me2,ENCBS830CIQ (rep. 2),"ENCFF967CHL, ENCFF595CSY"
56,GM12878,H3K4me1,ENCBS715VCP (rep. 1),"ENCFF047NLO, ENCFF785YET"
57,GM12878,H3K4me1,ENCBS830CIQ (rep. 2),"ENCFF385FLM, ENCFF721OOX"
58,GM12878,H3K9ac,ENCBS715VCP (rep. 1),"ENCFF729HQN, ENCFF609XKG"
59,GM12878,H3K9ac,ENCBS830CIQ (rep. 2),"ENCFF405REQ, ENCFF404TNY"
60,GM12878,H4K20me1,ENCBS715VCP (rep. 1),"ENCFF132EDT, ENCFF150LOV"
61,GM12878,H4K20me1,ENCBS830CIQ (rep. 2),"ENCFF334NVA, ENCFF069ZOX"
62,GM12878,H3K9me3,ENCBS715VCP (rep. 1),"ENCFF306ENK, ENCFF698SKV"
63,GM12878,H3K9me3,ENCBS830CIQ (rep. 2),"ENCFF889UPU, ENCFF856REE"
64,GM12878,H3K27ac,ENCBS715VCP (rep. 1),"ENCFF269GKF, ENCFF458CRP"
65,GM12878,H3K27ac,ENCBS830CIQ (rep. 2),"ENCFF201OHW, ENCFF716VWO"
66,GM12878,H2AFZ,ENCBS715VCP (rep. 1),"ENCFF703AIM, ENCFF477ZQM"
67,GM12878,H2AFZ,ENCBS830CIQ (rep. 2),"ENCFF256UUQ, ENCFF553GSY"
68,GM12878,H3K36me3,ENCBS715VCP (rep. 1),"ENCFF353YPB, ENCFF269OIU"
69,GM12878,H3K36me3,ENCBS830CIQ (rep. 2),"ENCFF677MAG, ENCFF831NQV"
70,K562,H3K27me3,ENCBS639AAA (rep. 1),"ENCFF392ZKG, ENCFF585RVP"
71,K562,H3K27me3,ENCBS674MPN (rep. 2),"ENCFF905CZD, ENCFF679YZC"
72,K562,H3K4me2,ENCBS639AAA (rep. 1),"ENCFF446FUS, ENCFF229IJV"
73,K562,H3K4me2,ENCBS674MPN (rep. 2),"ENCFF583GSH, ENCFF386XDJ"
74,K562,H3K4me3,ENCBS639AAA (rep. 1),"ENCFF564SVK, ENCFF545JLB"
75,K562,H3K4me3,ENCBS674MPN (rep. 2),"ENCFF685PPQ, ENCFF617VRS"
76,K562,H3K79me2,ENCBS639AAA (rep. 1),"ENCFF465UWC, ENCFF952GNK"
77,K562,H3K79me2,ENCBS674MPN (rep. 2),"ENCFF863HNL, ENCFF080CBF"
78,K562,H3K4me1,ENCBS639AAA (rep. 1),"ENCFF352HXD, ENCFF490RQD"
79,K562,H3K4me1,ENCBS674MPN (rep. 2),"ENCFF415GHS, ENCFF149FZG"
80,K562,H3K9ac,ENCBS639AAA (rep. 1),"ENCFF149MXA, ENCFF236VCK"
