"","EZH2","H2AFZ","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K4me2","H3K4me3","H3K79me2","H3K9ac","H3K9me3","H4K20me1"
"0",0.508051758535564,0.450795765994211,0.493355627493748,0.219294829225492,0.315131953836239,1,0.654592289070128,0.537569827817508,0.199249494390797,0.374560611429848,0.526728078703374,0.442815447702826
"1",0.407057413411096,0.0219059999253707,0.200014309476841,0.120673617458128,0.964312711901829,0.499651292496147,0.264003426126191,0.267624162616439,0.713980334532665,0.172257558651405,0.552313073577907,1
"2",0.391089630839917,0.050245490846254,0.0443589198282179,0.218593128406901,0.162325115510007,0.163262982424069,0.0650092777171819,0.143154399069556,0.0301194222945858,0.123075747207892,0.314075453515359,0.457489771691931
"3",0.289556121060372,0.0221971497586487,0.0326884945760501,0.15395906853687,0.138343650127115,0.10624372177317,0.0436409734975744,0.111907828322372,0.0209767802915982,0.0902249083111814,0.242779511972711,0.353075671111161
"4",0.536956096697742,1,0.832452331382466,0.20221563149697,0.218049850444404,0.787626246377276,0.903956314478489,0.869290646955586,0.503746341085974,0.807814115118253,0.40649367283891,0.338213965288399
"5",0.309811562053067,0.0196918231742987,0.0373735801246198,0.334475916214235,0.120338249099801,0.14553120394008,0.053632977009709,0.103221424308671,0.0244952203485082,0.104886586752324,0.201004386724266,0.544371408509642
"6",0.443376008397157,0.198146463226099,0.171188071576935,0.254649908086464,0.24916866375404,0.684454885041509,0.332799577548278,0.298642876414238,0.102421476230301,0.183666683004664,0.410623224315558,0.514903235262189
"7",0.435228542364352,0.128240223333815,0.0709464040151002,0.156405125662796,0.244289268760814,0.213074848389519,0.0907871844797968,0.196345556501238,0.0562656372283396,0.114950353358382,1,0.268229975690018
"8",0.478323367734729,0.37919011270076,1,0.1489906739492,0.560840907568822,0.773066487441991,1,1,1,1,0.395745312559818,0.693853681607102
"9",0.305905978971195,0,0.096455613200431,0.118818696238794,1,0.217874510561125,0.0733578920065548,0.124723216515169,0.116245757283292,0.12830302483598,0.208260599387308,0.625307239601237
"10",0.442535541695842,0.0980586324662991,0.471167427474954,0.134644982556087,0.812749786521133,0.882805194231753,0.736112320377462,0.623848819406913,0.822105781044663,0.400272524284563,0.452097031879684,0.89161955191822
"11",0.456770648773145,0.0458228787220709,0.047875654218883,0.574620036314746,0.150820940590222,0.227618601192706,0.0791864157755727,0.14251761431977,0.0340291013791059,0.134919494271423,0.277702434464539,0.823318928640208
"12",1,0.237160929952889,0.0519724682517411,1,0.133709253266608,0.545381822973897,0.418347637732902,0.373392898553824,0.0537023713619313,0.176099030890912,0.508432173575788,0.855463058099603
"13",0,0.0177315037815559,0,0,0,0,0,0,0,0,0,0
"14",0.340048459017861,0.0133138380775882,0.133864108894391,0.120910870654276,0.908757496984487,0.358537240913874,0.149873531501055,0.184878328750835,0.382478589570745,0.152246004552137,0.361287926305401,0.747707448684838
