label	length
6	2000
6	2000
6	2000
6	2000
6	3000
6	2000
6	2000
6	3000
6	3000
6	2000
6	2000
6	2000
6	2000
6	2000
6	2000
6	2000
6	2000
6	2000
6	2000
6	2000
6	5000
6	3000
6	3000
6	2000
6	3000
6	3000
6	2000
6	2000
6	3000
6	2000
6	2000
6	2000
6	2000
6	2000
6	7000
6	8000
6	2000
6	3000
6	4000
6	3000
6	4000
6	2000
6	2000
6	2000
6	2000
6	2000
6	3000
6	2000
6	20000
6	2000
6	2000
6	3000
6	5000
6	2000
6	6000
6	2000
6	2000
6	5000
6	21000
6	5000
6	2000
6	3000
6	2000
6	2000
6	7000
6	2000
6	4000
6	9000
6	3000
6	2000
6	3000
6	2000
6	2000
6	2000
6	7000
6	3000
6	7000
6	2000
6	16000
6	3000
6	2000
6	2000
6	4000
6	2000
6	4000
6	2000
6	3000
6	3000
6	3000
6	2000
13	3000
13	6000
13	3000
13	6000
13	4000
13	3000
13	6000
13	4000
13	8000
13	4000
13	5000
13	2000
13	4000
13	2000
13	2000
13	2000
13	11000
13	7000
13	5000
13	2000
13	2000
13	2000
13	5000
13	2000
13	6000
13	2000
13	5000
13	4000
13	3000
13	3000
13	3000
13	3000
13	2000
13	2000
13	14000
13	14000
13	2000
13	3000
13	2000
13	10000
13	3000
13	3000
13	3000
13	2000
13	2000
13	2000
13	4000
13	2000
13	3000
13	2000
13	3000
13	4000
13	3000
13	8000
13	21000
13	2000
13	4000
13	2000
13	2000
13	7000
13	4000
13	2000
13	2000
13	3000
13	4000
13	4000
13	2000
13	11000
13	22000
13	12000
13	2000
13	5000
13	2000
13	17000
13	15000
13	10000
13	3000
13	5000
13	3000
13	2000
13	2000
13	2000
13	3000
13	2000
13	8000
13	2000
13	2000
13	2000
13	6000
13	7000
13	3000
13	4000
13	3000
13	3000
13	5000
13	5000
13	8000
13	8000
13	2000
13	3000
13	2000
13	2000
13	5000
13	6000
13	2000
13	3000
13	33000
13	9000
13	4000
13	3000
13	2000
13	2000
13	7000
13	18000
13	6000
13	2000
13	2000
13	2000
13	9000
13	2000
13	2000
13	7000
13	2000
13	2000
13	3000
13	11000
13	9000
13	7000
13	3000
13	10000
13	3000
13	4000
13	2000
13	4000
13	4000
13	7000
13	6000
13	3000
13	5000
13	2000
13	4000
13	8000
13	2000
13	2000
13	4000
13	6000
13	3000
13	17000
13	3000
13	3000
13	2000
13	9000
13	3000
13	12000
13	4000
13	14000
13	3000
13	16000
13	19000
13	11000
13	3000
13	9000
13	2000
13	3000
13	2000
13	4000
13	3000
13	4000
13	7000
13	5000
13	5000
13	3000
13	2000
13	2000
13	3000
13	2000
13	6000
13	3000
13	4000
13	6000
13	11000
13	8000
13	7000
13	3000
13	2000
5	2000
5	2000
5	2000
5	4000
5	2000
5	2000
5	3000
5	3000
5	4000
5	3000
5	4000
5	3000
5	2000
5	5000
5	4000
5	5000
5	5000
5	2000
5	2000
5	2000
5	2000
5	2000
5	2000
5	3000
5	2000
5	2000
5	2000
5	5000
5	2000
5	4000
5	3000
5	2000
5	2000
5	4000
5	4000
5	2000
5	2000
5	2000
5	4000
5	5000
5	3000
5	2000
5	3000
5	2000
5	2000
5	2000
5	2000
5	2000
5	2000
5	2000
5	2000
5	6000
5	3000
5	3000
5	6000
5	7000
5	5000
5	10000
5	2000
5	3000
5	5000
5	2000
5	3000
5	8000
5	4000
5	4000
5	3000
5	3000
5	5000
5	2000
5	2000
5	2000
5	3000
5	9000
5	2000
5	4000
5	2000
5	2000
5	2000
5	9000
5	2000
5	2000
5	2000
5	5000
5	2000
5	2000
5	3000
5	2000
5	2000
5	4000
5	3000
5	2000
5	5000
5	3000
5	2000
5	2000
5	4000
5	2000
5	4000
5	2000
5	5000
5	4000
5	4000
5	3000
5	5000
5	4000
5	2000
5	4000
5	2000
5	2000
5	2000
5	5000
5	2000
5	2000
5	9000
5	2000
5	2000
5	3000
5	2000
5	2000
5	2000
5	9000
5	7000
5	11000
5	5000
5	3000
5	2000
5	2000
5	2000
5	2000
5	2000
5	4000
5	2000
5	2000
5	2000
5	3000
5	14000
5	2000
5	2000
5	3000
5	3000
5	2000
5	2000
5	2000
5	2000
5	2000
5	2000
5	3000
5	2000
14	2000
14	2000
14	2000
14	2000
14	2000
14	2000
14	2000
14	2000
14	2000
14	2000
14	3000
