label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	6210	4823.703	3000.000	5878.170	29955196	1.000
0	117	4170.940	3000.000	3477.131	488000	0.016
1	190	5905.263	3000.000	6661.869	1122000	0.037
2	2307	5283.677	4000.000	4835.465	12189443	0.407
3	1122	4461.727	3000.000	4166.418	5006058	0.167
4	182	2500.000	2000.000	1113.109	455000	0.015
5	1358	4050.887	3000.000	4815.545	5501105	0.184
6	265	9675.472	5000.000	10912.014	2564000	0.086
7	184	7396.739	4000.000	17277.159	1361000	0.045
8	485	2615.649	2000.000	1104.201	1268590	0.042
