label	length
0	2000
0	4000
0	3000
0	4000
0	2000
0	4000
0	2000
0	3000
0	2000
0	4000
0	2000
0	6000
0	3000
0	2000
0	7000
0	2000
0	4000
0	3000
0	2000
0	3000
0	2000
0	2000
0	2000
0	2000
0	4000
0	3000
0	4000
0	2000
0	3000
0	6000
0	3000
0	6000
0	2000
0	5000
0	7000
0	7000
0	3000
0	2000
0	3000
0	5000
0	3000
0	2000
0	2000
0	2000
0	2000
0	3000
0	3000
0	2000
0	6000
0	4000
0	2000
0	9000
0	3000
0	10000
0	6000
0	6000
0	4000
0	3000
0	5000
0	6000
0	2000
0	3000
0	3000
0	3000
0	3000
0	4000
0	2000
0	5000
0	2000
0	23000
0	2000
0	2000
0	4000
0	5000
0	8000
0	3000
0	2000
0	2000
0	3000
0	7000
0	23000
0	3000
0	3000
0	5000
0	2000
0	2000
0	11000
0	3000
0	4000
0	2000
0	2000
0	5000
0	12000
0	5000
0	2000
0	2000
0	7000
0	2000
0	2000
0	11000
0	3000
0	7000
0	2000
0	16000
0	2000
0	3000
0	2000
0	2000
0	4000
0	5000
0	2000
0	9000
0	4000
0	3000
0	3000
0	2000
0	3000
1	2000
1	2000
1	21000
1	7000
1	3000
1	3000
1	2000
1	2000
1	26000
1	5000
1	2000
1	2000
1	15000
1	2000
1	2000
1	6000
1	10000
1	5000
1	2000
1	2000
1	2000
1	2000
1	2000
1	2000
1	4000
1	2000
1	2000
1	3000
1	2000
1	3000
1	2000
1	4000
1	2000
1	3000
1	17000
1	8000
1	6000
1	4000
1	18000
1	4000
1	6000
1	2000
1	3000
1	12000
1	8000
1	4000
1	3000
1	5000
1	6000
1	8000
1	3000
1	2000
1	3000
1	3000
1	2000
1	6000
1	5000
1	3000
1	2000
1	5000
1	2000
1	2000
1	2000
1	4000
1	3000
1	2000
1	7000
1	4000
1	4000
1	8000
1	33000
1	30000
1	2000
1	7000
1	5000
1	2000
1	22000
1	3000
1	2000
1	5000
1	3000
1	2000
1	4000
1	2000
1	5000
1	2000
1	8000
1	4000
1	2000
1	2000
1	2000
1	2000
1	22000
1	2000
1	4000
1	3000
1	17000
1	21000
1	8000
1	4000
1	14000
1	2000
1	7000
1	5000
1	3000
1	2000
1	2000
1	2000
1	7000
1	2000
1	2000
1	2000
1	2000
1	5000
1	3000
1	8000
1	24000
1	2000
1	25000
1	6000
1	13000
1	2000
1	6000
1	2000
1	2000
1	2000
1	10000
1	4000
1	3000
1	6000
1	3000
1	9000
1	2000
1	4000
1	13000
1	23000
1	4000
1	4000
1	6000
1	16000
1	4000
1	2000
1	3000
1	2000
1	4000
1	5000
1	3000
1	3000
1	2000
1	3000
1	7000
1	8000
1	3000
1	2000
1	24000
1	10000
1	2000
1	7000
1	5000
1	2000
1	1000
1	5000
1	2000
1	46000
1	25000
1	3000
1	4000
1	2000
1	7000
1	19000
1	8000
1	3000
1	2000
1	3000
1	3000
1	7000
1	3000
1	2000
1	2000
1	2000
1	3000
1	4000
1	7000
1	1000
1	3000
1	8000
1	4000
1	4000
1	4000
1	3000
6	2000
6	18000
6	31000
6	9000
6	34000
6	5000
6	27000
6	8000
6	3000
6	10000
6	3000
6	5000
6	7000
6	10000
6	5000
6	4000
6	3000
6	2000
6	11000
6	12000
6	2000
6	8000
6	10000
6	12000
6	14000
6	5000
6	2000
6	3000
6	3000
6	14000
6	5000
6	28000
6	7000
6	9000
6	43000
6	13000
6	10000
6	23000
6	3000
6	24000
6	19000
6	10000
6	18000
6	19000
6	13000
6	8000
6	8000
6	2000
6	2000
6	9000
6	13000
6	9000
6	12000
6	49000
6	21000
6	18000
6	6000
6	7000
6	51000
6	4000
6	43000
6	36000
6	3000
6	3000
6	8000
6	3000
6	4000
6	31000
6	4000
6	3000
6	2000
6	2000
6	3000
6	3000
6	4000
6	9000
6	5000
6	2000
6	25000
6	17000
6	4000
6	9000
6	17000
6	12000
6	4000
6	2000
6	7000
6	10000
6	6000
6	14000
6	24000
6	9000
6	8000
6	5000
6	3000
6	30000
6	22000
6	2000
6	13000
6	4000
6	5000
6	13000
6	2000
6	3000
6	6000
6	2000
6	3000
6	3000
6	8000
6	2000
6	6000
6	7000
6	6000
6	2000
6	4000
6	4000
6	8000
6	13000
6	18000
6	8000
6	5000
6	3000
6	24000
6	14000
6	38000
6	27000
6	4000
6	21000
6	16000
6	14000
6	4000
6	2000
6	6000
6	9000
6	4000
6	3000
6	2000
6	6000
6	2000
6	3000
6	3000
6	7000
6	58000
6	32000
6	3000
6	3000
6	4000
6	2000
6	16000
6	69000
6	4000
6	7000
6	6000
6	9000
6	4000
6	25000
6	3000
6	2000
6	2000
6	2000
6	2000
6	2000
6	3000
6	5000
6	22000
6	8000
6	39000
6	4000
6	10000
6	2000
6	2000
6	18000
6	32000
6	3000
6	2000
6	9000
6	23000
6	8000
6	7000
6	6000
6	3000
6	3000
6	4000
6	3000
6	2000
6	2000
6	2000
6	6000
6	16000
6	5000
6	3000
6	2000
6	11000
6	6000
6	6000
6	7000
6	23000
6	9000
6	3000
6	2000
6	10000
6	3000
6	2000
6	4000
6	3000
6	5000
