"","EZH2","H2AFZ","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K4me2","H3K4me3","H3K79me2","H3K9ac","H3K9me3","H4K20me1"
"0",1,0.905058206469865,0.57386627079474,0.458543328617472,0.252412049434444,1,0.786522670405091,0.62251539969615,0.273236945446861,0.46817934671194,0.938352715522112,0.430208880181339
"1",0.559765367698821,0,0.0981188989160465,0.201093929096339,1,0.233902991294962,0.0818270265415807,0.128844087059775,0.184063759248685,0.127059551844477,0.472033249473264,0.701535519470801
"2",0.677090690321862,0.0787960529741524,0.0466862631203432,0.303471604724393,0.177577002436704,0.164385192195725,0.0664736085317049,0.142439114804033,0.0405229005381198,0.111714151107439,0.82748309866498,0.404400972027293
"3",0,0.0224115321498655,0,0,0,0,0,0,0,0,0,0
"4",0.68252479846307,0.0199008397217896,0.173524936145969,0.21026126588363,0.919966769331455,0.446071789595505,0.223490292582073,0.233248484323435,0.700932430919648,0.163013137901028,0.933708620458319,0.968111312068619
"5",0.821228160030173,0.0627401949092487,0.0462554033663387,1,0.143947791779427,0.226050036727047,0.082291616555532,0.138447033197343,0.0391721546412768,0.130475286270862,0.523624263975797,0.874023822882404
"6",0.560752978496923,0.0306534545274631,0.0332462776120888,0.408747732552501,0.124186044875415,0.11873670091149,0.0477816091025937,0.107215688299903,0.0254177033561724,0.0968140864771546,0.420520756978763,0.477410567108847
"7",0.821405504908726,0.14195761297902,0.484157409506645,0.239904066731625,0.827636724647951,0.89259242039779,0.761025851233145,0.62331818351407,0.990592642385134,0.405475036202727,0.902765052694598,1
"8",0.909095801498008,1,1,0.272070264629625,0.374369060165409,0.694572475469755,1,1,1,1,0.748649902239016,0.544446014719487
"9",0.859695243279431,0.313555022493925,0.196600431294767,0.463237129664307,0.2638079269155,0.709995653211228,0.37403000829109,0.324997677118374,0.133137249841407,0.191777941407666,1,0.540589120076023
