"","EZH2","H2AFZ","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K4me2","H3K4me3","H3K79me2","H3K9ac","H3K9me3","H4K20me1"
"0",0.424382290701756,0.129527105336159,0.115480149320308,0.0772977294942764,1,0.236197525743056,0.0807838321183999,0.137747761797119,0.22343411248986,0.120867588510834,0.566233885848233,0.73811244047709
"1",0.475487626123395,0.223590783386038,0.0373981676846601,0.474991766166635,0.143908823029704,0.119375022965373,0.0423935460120645,0.113471441084013,0.0291167761906491,0.0825714736830374,0.484465370052871,0.416919867120309
"2",0,0,0,0,0,0,0,0,0,0,0,0
"3",0.889427359187064,0.290006029752536,0.0500927411244916,1,0.193346140795902,0.177972939910908,0.0673848532751838,0.162354839418444,0.0402501398784611,0.115240714088077,0.657275526062091,0.586245210058507
"4",0.818564183612818,0.608967970075825,0.218599261508257,0.412054514371806,0.297293241318078,0.681950570374708,0.355291100253801,0.282965100907737,0.122259447104956,0.207324728685066,0.859714071287625,0.525402680755921
"5",0.621542279370899,0.231793090798421,0.279438390258613,0.123887894252744,0.911123419197141,0.616113716657543,0.345348655554691,0.310185449834833,0.843661848508723,0.215496248304017,1,1
"6",0.813722605227166,0.983806607050364,1,0.198666621785513,0.483681033630606,0.73598234692794,1,1,1,1,0.871541240199199,0.709867591690791
"7",0.521700197559225,0.294083849686583,0.0598269558058293,0.243514931267036,0.2268015564708,0.163530640265773,0.0552391435618364,0.149770037634622,0.0466611182720752,0.0837580222441757,0.873448537723021,0.299713105563241
"8",1,1,0.703577297893127,0.296400218859086,0.363070237751701,1,0.773964788257013,0.588761246473702,0.305392947182094,0.528392563917716,0.928285929609929,0.455797787318076
