"","EZH2","H2AFZ","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K4me2","H3K4me3","H3K79me2","H3K9ac","H3K9me3","H4K20me1"
"0",0.795416427104075,0.129462521247958,0.451313771294554,0.221739978937994,0.851908252210701,0.874507315744723,0.722048425065651,0.597365428628458,0.9256178113473,0.378247542143472,0.471681759775547,1
"1",0.880606317778526,0.0723536560155036,0.0505658199209554,1,0.155141196998941,0.259009604802979,0.0959522862230558,0.155058642932942,0.0417026310173172,0.138595019102,0.301385974736237,0.933658087692538
"2",0.773902617835541,0.18077696953994,0.0755389787131646,0.256436951276514,0.246006300908002,0.223801824642231,0.0971618561373274,0.199253223943049,0.0679591347249181,0.116883556887367,1,0.291944353365083
"3",0.552725758695869,0,0.101218414772563,0.191668766387384,1,0.238748532739039,0.0852241685731267,0.133365572952883,0.175784269145754,0.131994201085793,0.232223505482808,0.716033256812062
"4",1,1,0.62177010262336,0.423927869582418,0.243185851174658,1,0.813764468712807,0.659307925030599,0.288669157486898,0.517149981649649,0.488043504512075,0.416987580909582
"5",0,0.022263622005411,0,0,0,0,0,0,0,0,0,0
"6",0.864793826817698,0.867184880503568,1,0.250119008782158,0.42032071522769,0.712433687462407,1,1,1,1,0.38174642923542,0.625162872750817
"7",0.515415721534397,0.0288614344117226,0.033581319913577,0.255534999850848,0.140871588330712,0.107028615421404,0.0447991768660585,0.111995514007469,0.0247009114352101,0.0907665591738588,0.243901542739966,0.387110170424172
"8",0.66847634601012,0.0184434232930476,0.172798804382967,0.199835256960221,0.911892248701147,0.434079826987146,0.214620412430993,0.231254877933286,0.670085612115065,0.165338487780257,0.483741508569282,0.97376015582591
"9",0.559677315967684,0.0252031660171157,0.0379113179196562,0.597694119353826,0.118180489523989,0.146958767572325,0.05487191939999,0.103656265998981,0.0282956713706618,0.107306501176965,0.199026673492501,0.637297258448596
"10",0.687237788917026,0.067714006996325,0.0458196753081858,0.369188266806198,0.162647433896915,0.167835604373056,0.0688860654758728,0.143132104245158,0.0350407567134074,0.12391438238003,0.312585812811239,0.506969385419282
"11",0.845029873032523,0.333403113700092,0.223073659813513,0.429399479832829,0.269656411164523,0.76564384671546,0.420696147798815,0.354046053135304,0.13729415014308,0.211646647129743,0.443630495835892,0.575282485399791
