label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	6485	4619.151	3000.000	5476.000	29955196	1.000
0	80	3537.500	2000.000	3559.999	283000	0.009
1	1509	4609.838	3000.000	4049.145	6956246	0.232
2	107	3149.533	3000.000	1717.441	337000	0.011
3	576	2665.958	2000.000	1202.364	1535592	0.051
4	2212	4722.133	3000.000	4080.204	10445358	0.349
5	185	5259.459	3000.000	4920.748	973000	0.032
6	132	3318.182	3000.000	1876.159	438000	0.015
7	201	2621.891	2000.000	1366.376	527000	0.018
8	264	8946.970	5000.000	10104.615	2362000	0.079
9	248	6580.645	3000.000	15288.936	1632000	0.054
10	971	4599.382	3000.000	5645.114	4466000	0.149
