label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	6900	4341.333	3000.000	4853.594	29955196	1.000
0	102	3029.412	3000.000	1665.426	309000	0.010
1	79	3658.228	3000.000	3754.781	289000	0.010
2	70	2257.143	2000.000	647.759	158000	0.005
3	1312	4023.053	3000.000	3342.501	5278246	0.176
4	128	4242.188	3000.000	3633.065	543000	0.018
5	558	2750.900	2000.000	1296.792	1535002	0.051
6	1124	4844.574	3000.000	4455.813	5445301	0.182
7	219	4397.260	3000.000	3887.950	963000	0.032
8	263	7893.536	5000.000	8713.221	2076000	0.069
9	157	7777.070	4000.000	18503.778	1221000	0.041
10	1881	4535.915	3000.000	3287.811	8532057	0.285
11	99	2696.970	2000.000	1175.976	267000	0.009
12	296	2393.885	2000.000	816.314	708590	0.024
13	494	4621.457	3000.000	5381.444	2283000	0.076
14	118	2940.678	2000.000	1486.050	347000	0.012
