label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	6546	4576.107	3000.000	5510.163	29955196	1.000
0	107	3747.664	2000.000	3431.829	401000	0.013
1	893	4211.850	3000.000	3446.309	3761182	0.126
2	193	2538.860	2000.000	1204.393	490000	0.016
3	335	2509.230	2000.000	1022.577	840592	0.028
4	142	2330.986	2000.000	784.730	331000	0.011
5	186	5801.075	3000.000	6550.728	1079000	0.036
6	1755	4573.228	3000.000	5036.800	8026016	0.268
7	274	9069.343	5000.000	10691.029	2485000	0.083
8	2042	4466.898	3000.000	3559.450	9121406	0.305
9	165	7903.030	4000.000	18153.963	1304000	0.044
10	454	4660.793	3000.000	4986.272	2116000	0.071
