label	length
0	2000
0	2000
0	2000
0	2000
0	2000
0	3000
0	2000
0	2000
0	2000
0	6000
0	5000
0	2000
0	4000
0	2000
0	2000
0	2000
0	2000
0	2000
0	2000
0	2000
0	2000
0	2000
0	2000
0	2000
0	2000
0	2000
0	5000
0	2000
0	3000
0	6000
0	3000
0	2000
0	3000
0	3000
0	2000
0	2000
0	3000
0	2000
0	3000
0	2000
0	2000
0	2000
0	8000
0	2000
0	8000
0	2000
0	7000
0	5000
0	3000
0	2000
0	5000
0	5000
0	2000
0	2000
0	2000
0	3000
0	2000
0	3000
0	2000
0	21000
0	2000
0	2000
0	11000
0	2000
0	7000
0	3000
0	3000
0	7000
0	21000
0	2000
0	5000
0	6000
0	3000
0	3000
0	12000
0	3000
0	2000
0	5000
0	10000
0	5000
0	2000
0	2000
0	2000
0	2000
0	3000
0	2000
0	2000
0	2000
0	13000
0	2000
0	2000
0	7000
0	3000
0	15000
0	3000
0	2000
0	2000
0	4000
0	3000
0	2000
0	4000
0	2000
0	4000
0	3000
0	3000
0	2000
0	3000
5	2000
5	2000
5	21000
5	7000
5	3000
5	3000
5	2000
5	14000
5	10000
5	4000
5	16000
5	2000
5	2000
5	6000
5	10000
5	5000
5	2000
5	2000
5	2000
5	2000
5	2000
5	2000
5	3000
5	2000
5	2000
5	2000
5	1000
5	5000
5	3000
5	17000
5	7000
5	6000
5	4000
5	18000
5	4000
5	6000
5	2000
5	2000
5	12000
5	8000
5	4000
5	3000
5	4000
5	6000
5	8000
5	3000
5	2000
5	3000
5	3000
5	2000
5	6000
5	5000
5	3000
5	6000
5	2000
5	2000
5	4000
5	2000
5	2000
5	2000
5	7000
5	3000
5	4000
5	8000
5	29000
5	32000
5	2000
5	6000
5	5000
5	2000
5	24000
5	3000
5	2000
5	1000
5	5000
5	3000
5	2000
5	4000
5	2000
5	2000
5	8000
5	2000
5	2000
5	2000
5	2000
5	22000
5	2000
5	4000
5	3000
5	17000
5	21000
5	8000
5	5000
5	14000
5	7000
5	3000
5	3000
5	2000
5	2000
5	2000
5	7000
5	3000
5	2000
5	2000
5	2000
5	5000
5	3000
5	8000
5	25000
5	2000
5	25000
5	6000
5	13000
5	2000
5	2000
5	6000
5	2000
5	2000
5	2000
5	10000
5	4000
5	2000
5	6000
5	3000
5	9000
5	2000
5	4000
5	12000
5	23000
5	4000
5	4000
5	6000
5	15000
5	4000
5	2000
5	4000
5	2000
5	2000
5	4000
5	4000
5	3000
5	2000
5	2000
5	2000
5	3000
5	4000
5	2000
5	3000
5	2000
5	23000
5	10000
5	3000
5	7000
5	5000
5	2000
5	2000
5	5000
5	22000
5	48000
5	3000
5	4000
5	2000
5	7000
5	5000
5	12000
5	7000
5	3000
5	2000
5	2000
5	3000
5	3000
5	7000
5	3000
5	2000
5	2000
5	2000
5	3000
5	4000
5	7000
5	1000
5	3000
5	8000
5	4000
5	4000
5	4000
5	3000
7	2000
7	18000
7	31000
7	9000
7	34000
7	5000
7	28000
7	8000
7	10000
7	3000
7	5000
7	6000
7	10000
7	5000
7	4000
7	3000
7	11000
7	12000
7	2000
7	8000
7	10000
7	12000
7	14000
7	8000
7	3000
7	3000
7	2000
7	15000
7	5000
7	27000
7	8000
7	8000
7	24000
7	17000
7	11000
7	10000
7	23000
7	3000
7	24000
7	2000
7	19000
7	11000
7	18000
7	34000
7	6000
7	1000
7	6000
7	2000
7	2000
7	9000
7	14000
7	2000
7	7000
7	14000
7	49000
7	21000
7	17000
7	6000
7	6000
7	51000
7	3000
7	43000
7	36000
7	3000
7	3000
7	5000
7	3000
7	4000
7	8000
7	21000
7	4000
7	3000
7	2000
7	2000
7	3000
7	2000
7	4000
7	9000
7	5000
7	2000
7	14000
7	9000
7	11000
7	4000
7	4000
7	10000
7	9000
7	2000
7	11000
7	4000
7	2000
7	7000
7	10000
7	7000
7	14000
7	24000
7	1000
7	8000
7	9000
7	2000
7	3000
7	3000
7	30000
7	22000
7	1000
7	12000
7	2000
7	5000
7	8000
7	4000
7	2000
7	3000
7	6000
7	2000
7	3000
7	10000
7	6000
7	7000
7	10000
7	2000
7	4000
7	7000
7	13000
7	18000
7	8000
7	6000
7	24000
7	15000
7	37000
7	25000
7	4000
7	22000
7	16000
7	2000
7	14000
7	3000
7	2000
7	1000
7	5000
7	8000
7	4000
7	3000
7	1000
7	3000
7	6000
7	2000
7	2000
7	3000
7	3000
7	2000
7	3000
7	58000
7	32000
7	3000
7	3000
7	3000
7	2000
7	16000
7	69000
7	4000
7	7000
7	6000
7	9000
7	4000
7	25000
7	2000
7	2000
7	2000
7	2000
7	2000
7	2000
7	2000
7	5000
7	22000
7	7000
7	39000
7	5000
7	10000
7	2000
7	2000
7	19000
7	31000
7	3000
7	3000
7	2000
7	9000
7	23000
7	8000
7	7000
7	6000
7	3000
7	3000
7	4000
7	2000
7	1000
7	2000
7	2000
7	2000
7	2000
7	6000
7	4000
7	3000
7	5000
7	5000
7	3000
7	2000
7	8000
