label	num.segs	mean.len	median.len	stdev.len	num.bp	frac.bp
all	6922	4327.535	3000.000	4714.670	29955196	1.000
0	435	2502.510	2000.000	901.242	1088592	0.036
1	224	4348.214	3000.000	3879.225	974000	0.033
2	130	4223.077	3000.000	3623.142	549000	0.018
3	1225	4396.164	3000.000	3681.997	5385301	0.180
4	168	2565.476	2000.000	1157.994	431000	0.014
5	1830	4684.766	4000.000	3653.704	8573121	0.286
6	255	8066.667	5000.000	8763.084	2057000	0.069
7	523	3464.627	3000.000	2235.681	1812000	0.060
8	102	3000.000	2500.000	1686.161	306000	0.010
9	549	4770.492	3000.000	4367.266	2619000	0.087
10	123	3000.000	2000.000	1623.005	369000	0.012
11	1132	3834.966	3000.000	3028.932	4341182	0.145
12	67	3522.388	2000.000	4426.373	236000	0.008
13	159	7635.220	4000.000	18336.965	1214000	0.041
