label	length
15	2000
15	2000
15	2000
15	2000
15	3000
15	3000
15	2000
15	2000
15	2000
15	4000
15	2000
15	2000
15	2000
15	3000
15	2000
15	2000
15	2000
15	2000
15	3000
15	2000
15	2000
15	2000
15	2000
15	2000
15	2000
15	2000
15	5000
15	6000
15	2000
15	2000
15	4000
15	3000
15	3000
15	2000
15	3000
15	2000
15	2000
15	2000
15	2000
15	2000
15	5000
15	3000
15	2000
15	2000
15	6000
15	2000
15	2000
15	5000
15	2000
15	2000
15	3000
15	3000
15	4000
15	2000
15	2000
15	2000
15	2000
15	7000
15	7000
15	3000
15	4000
15	7000
15	4000
15	2000
15	3000
15	6000
15	3000
15	2000
15	5000
15	3000
15	2000
15	2000
15	2000
15	3000
15	2000
15	3000
15	3000
15	6000
15	10000
15	3000
15	2000
15	2000
15	3000
15	2000
15	7000
15	4000
15	4000
15	2000
15	3000
15	7000
15	2000
15	3000
15	5000
15	2000
15	4000
15	2000
15	2000
15	2000
15	2000
15	2000
15	8000
15	2000
15	2000
15	2000
15	2000
15	2000
15	7000
15	3000
15	2000
15	3000
15	2000
15	2000
15	2000
15	2000
15	2000
15	2000
15	2000
15	2000
15	3000
4	4000
4	5000
4	6000
4	4000
4	4000
4	14000
4	2000
4	2000
4	2000
4	3000
4	2000
4	5000
4	2000
4	2000
4	17000
4	2000
4	5000
4	2000
4	2000
4	2000
4	2000
4	2000
4	2000
4	6000
4	2000
4	3000
4	5000
4	2000
4	2000
4	2000
4	4000
4	4000
4	2000
4	2000
4	8000
4	2000
4	4000
4	2000
4	7000
4	16000
4	2000
4	7000
4	2000
4	4000
4	2000
4	2000
4	6000
4	2000
4	4000
4	5000
4	10000
4	2000
4	4000
4	6000
4	11000
4	2000
4	2000
4	2000
4	12000
4	9000
4	3000
4	2000
4	2000
4	2000
4	3000
4	7000
4	10000
4	6000
4	2000
4	7000
4	2000
4	2000
4	2000
4	4000
4	2000
4	40000
4	3000
4	2000
4	3000
4	6000
4	9000
4	2000
4	2000
4	2000
4	2000
4	10000
4	2000
4	2000
4	5000
4	4000
4	4000
4	2000
4	3000
4	2000
4	2000
4	9000
4	3000
4	2000
4	2000
4	2000
4	16000
4	5000
4	7000
4	6000
4	1000
4	2000
4	6000
4	7000
4	6000
4	4000
4	2000
4	2000
4	3000
4	10000
4	2000
4	2000
4	3000
4	2000
4	11000
4	3000
4	2000
4	4000
4	6000
4	2000
4	3000
4	9000
4	6000
4	4000
4	6000
4	4000
4	5000
4	5000
4	4000
4	2000
4	3000
4	2000
4	2000
4	2000
4	4000
4	2000
4	7000
4	5000
4	5000
4	2000
4	5000
4	2000
4	4000
4	11000
4	3000
4	2000
4	6000
4	3000
4	2000
4	10000
4	14000
4	4000
4	13000
4	8000
4	2000
4	11000
4	2000
4	3000
4	7000
4	2000
4	3000
4	5000
4	2000
4	5000
4	4000
4	4000
4	2000
4	4000
4	4000
4	2000
4	3000
4	6000
4	2000
4	2000
4	3000
4	2000
4	2000
4	2000
4	10000
4	6000
4	13000
4	13000
4	4000
4	8000
4	2000
11	2000
11	2000
11	3000
11	2000
11	2000
11	3000
11	2000
11	2000
11	3000
11	2000
11	3000
11	2000
11	2000
11	2000
11	2000
11	2000
11	4000
11	2000
11	2000
11	2000
11	2000
11	3000
11	4000
11	4000
11	2000
11	2000
11	3000
11	2000
11	2000
11	2000
11	2000
11	2000
11	4000
11	2000
11	3000
11	2000
11	2000
11	2000
11	2000
11	2000
11	2000
11	3000
11	2000
11	2000
11	2000
11	2000
11	3000
11	2000
11	2000
11	3000
11	3000
11	4000
11	2000
11	2000
11	2000
11	2000
11	4000
11	2000
11	2000
11	6000
11	2000
11	7000
11	2000
11	2000
11	3000
11	2000
11	4000
11	2000
11	2000
11	2000
11	2000
11	2000
11	2000
11	3000
11	2000
11	2000
11	2000
11	3000
11	3000
11	2000
11	2000
11	2000
11	2000
11	3000
11	2000
11	2000
11	2000
11	4000
11	2000
11	5000
11	2000
11	2000
11	2000
11	2000
