"","EZH2","H2AFZ","H3K27ac","H3K27me3","H3K36me3","H3K4me1","H3K4me2","H3K4me3","H3K79me2","H3K9ac","H3K9me3","H4K20me1"
"0",0.803797376444004,0.984797338286944,1,0.197538384387884,0.486161155291708,0.737314091926824,1,1,1,1,0.869609856605829,0.699119253251089
"1",0.444558799324484,0.22830871923099,0.0409957060585188,0.370626886303464,0.162952691951873,0.120338851047139,0.0408566721677738,0.114181539361804,0.0313179777837902,0.0729777353751654,0.617612220189192,0.325559881792442
"2",0.793597536233196,0.273558820108607,0.0453251719134009,1,0.175677659007169,0.152937722007053,0.0561055104348718,0.144064609024296,0.0347982308780801,0.102540926601551,0.617056435077247,0.522548091608902
"3",0.818983333432929,0.5876952425394,0.199915260385732,0.46141620092128,0.283157828448135,0.642514070431828,0.32862812879705,0.263428076695451,0.112226064843867,0.190788120129475,0.8734621252079,0.495996681303826
"4",0.599745756524076,0.214452101984515,0.275116094944819,0.105906509658661,0.927387837154081,0.607900084639324,0.339454842180223,0.298577216625723,0.838743048260399,0.208361567816689,1,1
"5",1,1,0.690523602273823,0.318690339613666,0.357975177756343,1,0.764844731563944,0.577097301260055,0.294689100476894,0.515685306179393,0.931538589300068,0.435580837612309
"6",0.404798930126836,0.113563483511932,0.111118037087758,0.0528496482261399,1,0.221915386437291,0.0740850185537444,0.126798483451291,0.214887776578632,0.112786756791104,0.553933317577197,0.707463069782131
"7",0,0,0,0,0,0,0,0,0,0,0,0
